census_id,kernel_spill_100,kernel_spill_300,kernel_spill_500,airbnb_listings,geometry,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros,other_owners,individual_owners,legal_entity_owners,hoa_owners,total_owners,pct_legal_entity,edu_level_1,edu_level_2,edu_level_3,edu_level_4,edu_level_5,edu_level_6,total_population,pct_edu_1,pct_edu_2,pct_edu_3,pct_edu_4,pct_edu_5,pct_edu_6,population,airbnb_per_1000,year,post
02103,53.47805455203941,376.25477129158577,909.8218313998148,32,"c(428996.113511821, 429037.448282722, 429042.874407831, 429045.444937993, 429063.161041492, 429079.514197291, 429109.476620734, 429118.730705269, 429118.98981268, 429119.458738895, 429121.412162554, 429121.424338481, 429122.382585146, 429124.88322345, 429127.319750074, 429128.937413099, 429129.89853705, 429131.384171021, 429133.958278912, 429133.982057896, 429173.98567112, 429180.089202945, 4582351.33203593, 4582199.86955667, 4582356.11112523, 4582209.55292142, 4582367.329587, 4582379.18061726, 4582246.20968438, 
4582150.27875397, 4582150.29398364, 4582310.15365046, 4582167.63524651, 4582167.49523063, 4582265.33920009, 4582163.78965768, 4582259.00331663, 4582167.9435691, 4582361.79556123, 4582200.24577691, 4582219.63404806, 4582219.50058046, 4582394.7930715, 4582353.97236713)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,23044.45,0,933,229,1,1163,0.19690455717970765,6,132,232,372,776,0,1518,0.003952569169960474,0.08695652173913043,0.152832674571805,0.2450592885375494,0.5111989459815547,0,1687,21.080368906455863,2024,1
02104,25.566660266524625,249.61861832135145,682.6720755914214,2,"c(428834.518503085, 428910.380648386, 4582413.98377227, 4582327.98065563)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,27506.16,2,924,104,0,1030,0.10097087378640776,0,88,156,264,572,0,1080,0,0.08148148148148149,0.14444444444444443,0.24444444444444444,0.5296296296296297,0,1203,1.8518518518518516,2024,1
02105,50.01530711769091,324.84238154071744,809.26026996637,10,"c(428957.624539183, 428977.332206172, 429014.022040681, 429017.992308914, 429026.312347112, 429050.634707329, 429077.115741959, 429083.423564642, 429091.110860677, 429115.780034805, 4582433.8710298, 4582425.29063855, 4582557.67095007, 4582439.78558606, 4582532.01379234, 4582625.04011694, 4582597.02348216, 4582558.10148782, 4582574.68062273, 4582532.35910351)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,23047.36,2,1152,149,0,1303,0.11435149654643131,13,133,286,510,1034,0,1976,0.006578947368421052,0.0673076923076923,0.14473684210526316,0.25809716599190285,0.5232793522267206,0,2204,5.060728744939271,2024,1
02106,63.91894726225556,316.60959238174627,763.4056290187638,11,"c(428859.377608879, 428880.8847629, 428888.958245821, 428890.767657431, 428899.097243465, 428913.543434547, 428923.007786704, 428943.645390606, 428960.35026915, 428987.140380259, 429011.678842658, 4582816.77610332, 4582793.24873709, 4582678.80924337, 4582736.7599008, 4582844.93619747, 4582798.47962165, 4582763.00391363, 4582628.3093968, 4582768.07580284, 4582766.55848042, 4582659.84085364)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,28531.46,2,696,207,0,905,0.2287292817679558,0,67,193,285,725,0,1270,0,0.05275590551181102,0.15196850393700786,0.22440944881889763,0.5708661417322834,0,1469,8.661417322834646,2024,1
02107,51.339537316080964,287.05339722253603,716.4338412645741,20,"c(428693.269907093, 428700.045403681, 428726.721197607, 428727.162398101, 428761.563279377, 428766.665183998, 428772.909112628, 428774.965033818, 428788.520379569, 428825.244055755, 428830.690162084, 428844.078531694, 428872.492812467, 428879.205654935, 428883.026593323, 428891.168656913, 428925.047941073, 428956.412046999, 4582759.56383354, 4582768.37949075, 4582760.34490313, 4582688.7710091, 4582732.36249729, 4582745.72578414, 4582780.98616476, 4582649.95127502, 4582753.07532426, 4582639.82527961, 
4582602.18278434, 4582536.02211394, 4582534.63277142, 4582585.3727696, 4582585.60283727, 4582585.64837042, 4582610.16090761, 4582566.00776818)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,27748.4,0,1128,204,2,1334,0.15292353823088456,0,99,172,397,780,0,1448,0,0.06837016574585636,0.11878453038674033,0.27417127071823205,0.5386740331491713,0,1639,13.812154696132596,2024,1
02108,43.71363241839798,266.6680202259873,680.030263538179,10,"c(428557.741722681, 428584.387431361, 428594.285845869, 428621.998482026, 428693.843618452, 428745.374178097, 428767.95570127, 428774.059011944, 428778.835075046, 428783.8294575, 4582666.52423039, 4582605.5894473, 4582641.7374254, 4582616.22731321, 4582563.03614314, 4582552.55642638, 4582532.32907178, 4582557.80581079, 4582533.3323944, 4582531.06270587)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,29156.53,0,1132,354,3,1489,0.23774345198119542,7,67,181,372,804,0,1431,0.004891684136967156,0.04682040531097135,0.1264849755415793,0.259958071278826,0.5618448637316562,0,1631,6.988120195667365,2024,1
02109,31.93605078711751,235.80398530612968,627.1160703441182,5,"c(428422.464680325, 428497.039648895, 428567.619900468, 428617.820447517, 428654.883189203, 4582514.63899424, 4582446.17455798, 4582515.22359872, 4582531.29212169, 4582512.3462346)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,31254.49,0,1070,199,0,1269,0.15681639085894405,0,103,232,526,1067,0,1928,0,0.05342323651452282,0.12033195020746888,0.27282157676348545,0.5534232365145229,0,2194,2.5933609958506225,2024,1
02110,44.642581121654615,308.03540328013776,771.2021647345376,15,"c(428415.570231312, 428449.317131293, 428463.301822496, 428494.72623192, 428509.221852187, 428540.795355878, 428553.686826822, 428643.423202984, 428653.016615315, 428671.067977852, 428778.179011496, 428781.294076029, 428950.528684087, 4582409.22913045, 4582380.97516739, 4582416.52969076, 4582395.22822309, 4582300.62799806, 4582304.73546332, 4582345.54818272, 4582282.6283078, 4582278.67000143, 4582287.90753745, 4582331.62408338, 4582231.65265096, 4582221.8747428)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,110,24963.53,0,1104,330,1,1435,0.22996515679442509,0,115,210,459,875,0,1659,0,0.06931886678722121,0.12658227848101267,0.2766726943942134,0.5274261603375527,0,1912,9.041591320072332,2024,1
02111,28.398168653706065,190.69464312079808,535.248571008639,7,"c(428392.154948309, 428395.605881219, 428404.533298892, 428413.130200849, 428427.803869062, 428473.384430988, 428546.706429479, 4582380.62952567, 4582335.03670056, 4582328.00912742, 4582331.53262852, 4582378.02000953, 4582174.13730571, 4582225.84629795)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,111,25499.02,0,1147,241,0,1388,0.17363112391930835,7,150,253,415,866,0,1691,0.004139562389118865,0.08870490833826139,0.14961561206386753,0.24541691306918983,0.5121230041395624,0,1914,4.139562389118865,2024,1
02112,27.420729382745304,178.0931385204535,498.84456931040955,4,"c(428341.165827865, 428344.626395611, 428382.186174911, 428430.355163751, 4582019.8183699, 4582084.92399134, 4582055.8226449, 4582043.79626972)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,112,31414.66,4,1340,476,3,1823,0.26110806363137684,0,75,140,338,611,0,1164,0,0.06443298969072164,0.12027491408934708,0.29037800687285226,0.5249140893470791,0,1304,3.436426116838488,2024,1
02113,26.35223195805555,207.37223888891006,577.8116357170189,6,"c(428443.810493646, 428529.796439318, 428566.633990463, 428570.017434299, 428623.429421525, 4582029.25508445, 4582050.48455169, 4582126.83365355, 4582066.31150743, 4582124.2220669)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,113,28553.28,1,2573,666,2,3242,0.2054287476866132,0,130,278,451,1074,0,1933,0,0.06725297465080186,0.1438178996378686,0.23331608898085876,0.5556130367304708,0,2279,3.1039834454216244,2024,1
02114,30.364224946056147,231.83874716746763,628.3823949170045,4,"c(428535.509535065, 428604.628323537, 428679.292179256, 428696.555039349, 4581938.39071169, 4581989.42785559, 4581986.64067764, 4581988.98780095)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,114,24741.14,3,1136,171,0,1310,0.13053435114503817,10,140,275,354,730,0,1509,0.0066269052352551355,0.0927766732935719,0.18223989396951623,0.2345924453280318,0.48376408217362493,0,1690,2.6507620941020544,2024,1
02115,27.0844917691266,236.45170372143457,648.138620186591,6,"c(428699.189296786, 428768.466070731, 428772.136891118, 428794.495143318, 428795.959436856, 428809.731980913, 4581916.79284808, 4581903.89822539, 4581847.35380815, 4581974.36800146, 4581893.63535461, 4581942.37397717)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,115,24182.1,1,775,61,0,837,0.07287933094384708,7,125,219,328,575,0,1254,0.0055821371610845294,0.09968102073365231,0.17464114832535885,0.26156299840510366,0.4585326953748006,0,1402,4.784688995215311,2024,1
02116,29.15654030523704,258.61581371835257,696.923369184013,2,"c(428912.99815482, 428960.925304775, 4582061.25051248, 4582003.04523991)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,116,29580.54,0,802,54,3,859,0.06286379511059371,0,53,113,218,457,0,841,0,0.06302021403091558,0.13436385255648037,0.25921521997621877,0.5434007134363853,0,966,2.3781212841854935,2024,1
02117,33.99524419288083,280.54502738092515,742.9389500061661,5,"c(428921.576880544, 428972.991764525, 428980.57233347, 428999.788263457, 429006.435044065, 4582083.37218948, 4582125.05905996, 4582056.46862576, 4582043.74509405, 4582124.73127147)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,117,24631.45,0,752,120,0,872,0.13761467889908258,0,86,153,282,525,0,1046,0,0.08221797323135756,0.1462715105162524,0.2695984703632887,0.5019120458891013,0,1209,4.780114722753346,2024,1
02118,72.27166872094091,403.82087136000075,936.4638459556658,14,"c(429008.083907771, 429010.938783786, 429025.724301821, 429046.895416023, 429059.048956265, 429077.252051995, 429089.868814365, 429138.459987457, 429154.892543299, 429192.558139532, 429194.28201594, 429203.063546894, 429230.333698761, 4582037.00205304, 4581987.01094978, 4582055.26006857, 4582044.00197074, 4581942.03036051, 4582098.50097063, 4582020.65706221, 4582004.52654659, 4581916.63618871, 4581942.67626859, 4581944.52471069, 4581948.96888552, 4581933.79126413)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,118,27859.3,0,1314,197,0,1511,0.13037723362011913,0,93,174,319,683,0,1269,0,0.07328605200945626,0.13711583924349882,0.25137903861308114,0.5382190701339638,0,1421,11.03230890464933,2024,1
02119,38.47587502528389,295.06436947319247,756.9106841695266,2,"c(428960.112557814, 428992.6370459, 4581885.44221511, 4581839.8745732)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,119,26424.08,1,873,44,0,918,0.04793028322440087,5,95,154,274,590,0,1118,0.004472271914132379,0.08497316636851521,0.13774597495527727,0.24508050089445438,0.5277280858676208,0,1258,1.7889087656529514,2024,1
02120,31.287987439918442,266.36409369991725,700.634825481361,9,"c(428837.52500215, 428855.268666988, 428855.970496849, 428859.862791849, 428865.98550012, 428869.305650086, 428892.324248258, 428911.233545941, 4581868.80056737, 4581887.50128444, 4581782.69393116, 4581852.08227084, 4581871.8519736, 4581767.12995259, 4581743.90987761, 4581881.40051391)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,120,25704.02,0,632,45,0,677,0.06646971935007386,0,105,176,272,485,0,1038,0,0.10115606936416185,0.16955684007707128,0.26204238921001927,0.46724470134874757,0,1150,8.670520231213873,2024,1
02121,59.2058899138413,376.91592697501346,878.5652152282927,9,"c(428821.944292606, 428884.581192899, 428903.877510437, 428987.676935553, 429001.309167375, 429058.717710087, 429069.710126819, 429111.682752877, 4581644.67463098, 4581721.78003445, 4581728.25242466, 4581831.79807061, 4581829.46610088, 4581845.21397229, 4581820.93531376, 4581857.23077568)",2021,2,Eixample,9,la Nova Esquerra de l'Eixample,121,26605.91,1,1126,154,0,1281,0.12021857923497267,6,99,188,301,524,0,1118,0.005366726296958855,0.0885509838998211,0.16815742397137745,0.2692307692307692,0.46869409660107336,0,1260,8.050089445438282,2024,1
